timestamp_ns,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,temp_mC,governor,load1,load5
before,1200000,1200000,1200000,1200000,56000,interactive,0.00 0.08 0.11 1/119 9535
after,1200000,1200000,1200000,1200000,56000,interactive,0.00 0.06 0.10 1/119 9545
