timestamp_ns,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,temp_mC,governor,load1,load5
before,1200000,1200000,1200000,1200000,58000,interactive,0.50 0.43 0.24 1/120 9637
after,1800000,1800000,1800000,1800000,63000,interactive,0.93 0.57 0.30 1/120 9644
